driverId,driver_age,driver_momentum,position_qualifying,q1_millis,reached_q1,q2_millis,reached_q2,q3_millis,reached_q3,constructorId,constructor_momentum,round,circuitId,grid,driver_track_affinity,constructor_track_affinity,constructor_dnf_rate,driver_dnf_rate,circuit_dnf_rate
18,34.59548254620123,7.333333333333333,10,130529.0,True,129272.0,True,129776.0,True,1,8.333333333333334,12,13,10,11.714285714285714,9.571428571428571,0.1740506329113924,0.1645569620253164,0.2129032258064516
13,33.3305954825462,16.0,9,128403.0,True,128833.0,True,129178.0,True,3,10.0,12,13,9,4.5,14.285714285714286,0.2412698412698412,0.1390728476821192,0.2129032258064516
8,34.85284052019165,13.0,8,129885.0,True,128646.0,True,128780.0,True,6,8.666666666666666,12,13,8,8.8,7.857142857142857,0.1170886075949367,0.1610169491525423,0.2129032258064516
826,20.32854209445585,14.333333333333334,11,130445.0,True,129377.0,True,142753.6,False,5,12.5,12,13,11,14.333333333333334,13.428571428571429,0.2974683544303797,0.3636363636363636,0.2129032258064516
4,33.07049965776865,4.333333333333333,4,130197.0,True,128450.0,True,127786.0,True,6,8.666666666666666,12,13,4,10.142857142857142,7.857142857142857,0.1170886075949367,0.0949367088607595,0.2129032258064516
16,31.616700889801507,14.333333333333334,14,131051.0,True,130238.0,True,142753.6,False,15,15.666666666666666,12,13,14,9.833333333333334,14.0,0.2988505747126437,0.3333333333333333,0.2129032258064516
827,32.761122518822724,21.0,21,133469.0,True,145717.0,False,142753.6,False,207,18.0,12,13,21,21.0,17.25,0.21,0.0,0.2129032258064516
20,27.143052703627653,5.333333333333333,3,130105.0,True,128868.0,True,127717.0,True,9,4.333333333333333,12,13,3,6.857142857142857,6.571428571428571,0.2025316455696202,0.183206106870229,0.2129032258064516
822,24.98836413415469,4.0,6,129250.0,True,128451.0,True,128049.0,True,3,10.0,12,13,6,15.0,14.285714285714286,0.2412698412698412,0.1,0.2129032258064516
817,25.14715947980835,3.333333333333333,5,130089.0,True,128989.0,True,127911.0,True,9,4.333333333333333,12,13,5,13.333333333333334,6.571428571428571,0.2025316455696202,0.1639344262295081,0.2129032258064516
